"","geohash","observed","knn_predict","arima_predict","smooth_predict"
"5325","dr72ht9",0,-0.000449438202247191,0,-1.31525219270867e-05
"5326","dr72htc",0,0.000321027287319422,0,1.3149044378906e-05
"5327","dr72htd",0,-0.000449438202247191,0,-1.31890917571598e-05
"5328","dr72hte",0,-0.000321027287319422,0,1.31577399738947e-05
"5329","dr72htf",0,-0.000898876404494382,0,1.56852185097937e-08
"5330","dr72htg",0,0,0,-1.31464368211856e-05
"5331","dr72hth",0,0,0,-1.30645359431456e-08
"5332","dr72htk",0,0.00134831460674157,0,-2.43605492356221e-08
"5333","dr72htm",0,0.00168539325842697,0.00449438202243543,0.00154424182002037
"5334","dr72htp",0,-0.000561797752808989,0,-1.31995589436636e-05
"5335","dr72htq",0,0.00280898876404494,0,1.317340653865e-05
"5336","dr72htr",0,0.000449438202247191,0,1.31777616717104e-05
"5337","dr72htt",0,0.00149812734082397,0,2.95845802969321e-08
"5338","dr72htu",0,0.000449438202247191,0,1.56665647552949e-08
"5339","dr72htw",0,0.000561797752808989,0,1.3162089927583e-05
"5340","dr72htx",0,-0.000561797752808989,0,-1.31577399738947e-05
"5341","dr72htz",0,-0.00112359550561798,-0.00449438202246355,-0.00173753473859506
"5342","dr72hu0",0,-0.0287640449438202,0,-0.0011331502613855
"5343","dr72hu1",0,1.49258426966292,-0.0943820224719101,-0.0834695947299792
"5344","dr72hu2",0,-0.00359550561797753,0.00449438202243543,0.00156212651153518
"5345","dr72hu3",0,-0.12,0,-0.00369565518322375
"5346","dr72hu4",4,2.91640449438202,3.77023903937687,3.71019849669124
"5347","dr72hu5",0,1.37842696629213,-2.25913743450072,-2.16409866373153
"5348","dr72hu6",0,1.68134831460674,-0.501123595505618,-0.437049942278807
"5349","dr72hu7",1,0.332584269662921,-0.0923115296741992,0.320839532736848
"5350","dr72hu8",0,0.00314606741573034,-1.52263640129967e-32,2.63389787301415e-05
"5351","dr72hu9",0,-0.141573033707865,0,2.63102633392868e-05
"5352","dr72hub",0,0.000898876404494382,0,1.32004315840842e-05
"5353","dr72huc",0,-0.0880898876404494,0,-4.53038872163195e-08
"5354","dr72hud",0,-0.381573033707865,-0.68567081798288,-0.686066496004154
"5355","dr72hue",-1,0.180674157303371,-0.55799733813833,-0.854933591742768
"5356","dr72huf",0,-0.556404494382022,-0.365758340497847,-0.393279997109
"5357","dr72hug",-2,-0.396404494382022,-1.61879990277874,-1.61692025659175
"5358","dr72huh",-1,-1.08449438202247,-0.68314606741571,-0.742106149548607
"5359","dr72huj",-1,-0.838651685393258,-1.90991383715696,-1.87935700519521
"5360","dr72huk",-1,0.372134831460674,-0.715320908023888,-0.862428857486535
"5361","dr72hum",0,-2.22966292134831,-0.267415730337035,-0.447450866159101
"5362","dr72hun",0,-2.11955056179775,-0.419827572746865,-0.508467208785244
"5363","dr72hup",0,0.0197752808988764,-0.191011235955092,-0.122046310109069
"5364","dr72huq",-8,-2.00224719101124,-7.51235955056157,-7.49325170052386
"5365","dr72hur",0,-2.26966292134831,0.0428012014705842,0.039974419718418
"5366","dr72hus",-2,-0.121348314606742,-1.84086294048432,-1.81699970768878
"5367","dr72hut",0,-0.58561797752809,-0.154383353786099,-0.200079309124826
"5368","dr72huu",0,-0.433258426966292,-0.648575253683631,-0.790304235354234
"5369","dr72huv",-2,-0.306966292134831,-2.00735959885703,-1.97816790661903
"5370","dr72huw",0,-2.55056179775281,-1.5752808988763,-1.69318104464311
"5371","dr72hux",-3,-1.24314606741573,-4.22635567940174,-4.15447275937593
"5372","dr72huy",0,-0.70561797752809,0,-0.000846330700677834
"5373","dr72huz",-3,-1.14067415730337,-0.829392224566242,-0.859508881907998
"5374","dr72hv0",0,-0.000449438202247191,0,-1.31533914578274e-05
"5375","dr72hv1",0,-0.000898876404494382,0,-1.31437886908696e-05
"5376","dr72hv2",0,0.00168539325842697,0,1.31751826052499e-05
"5377","dr72hv3",0,0.00134831460674157,0.00449438202243543,0.00160924282770961
"5378","dr72hv4",0,-0.0943820224719101,-0.00449438202246355,-0.00202495261144529
"5379","dr72hv5",0,-0.338876404494382,-0.0224719101122795,-0.011624313895
"5380","dr72hv6",0,0.00134831460674157,0,1.32178513200335e-05
"5381","dr72hv7",0,-0.0633707865168539,0.00449438202246357,0.00170495247417777
"5382","dr72hv9",0,0.000561797752808989,0,-1.82843062414439e-08
"5383","dr72hvb",0,-0.000561797752808989,0,1.31795041280543e-05
"5384","dr72hvc",0,-0.000898876404494382,0,-1.31716648884656e-05
"5385","dr72hvd",0,-0.00134831460674157,0,-1.39258351655982e-08
"5386","dr72hve",0,-0.000898876404494382,-0.00674157303371294,-0.0040343965696272
"5387","dr72hvf",0,-0.000898876404494382,0,-1.31864448403588e-05
"5388","dr72hvg",0,-0.00314606741573034,0,-1.31751484191276e-05
"5389","dr72hvh",0,-0.124494382022472,-0.0426966292134836,-0.0253413478147055
"5390","dr72hvj",-2,-0.651685393258427,-0.866217739418965,-0.749058810527219
"5391","dr72hvk",0,-0.330337078651685,-0.294382022471944,-0.2762478843033
"5392","dr72hvm",-1,-0.523595505617978,-1.28740393409545,-1.34716622992418
"5393","dr72hvn",0,-0.47685393258427,-0.230226365001808,-0.236524758555701
"5394","dr72hvp",-2,-0.302921348314607,-1.35202387145657,-1.26867817120153
"5395","dr72hvq",-2,-0.579325842696629,-0.51439001055747,-0.811600869401811
"5396","dr72hvr",-1,-0.587415730337079,-1.01797752808992,-1.09461897486423
"5397","dr72hvs",0,-0.0885393258426966,0,8.69846975559187e-09
"5398","dr72hvt",0,-0.320898876404494,-0.141573033707864,-0.107777728466487
"5399","dr72hvu",0,-0.00134831460674157,0,2.61463502752822e-09
"5400","dr72hvv",0,-0.0656179775280899,-0.0112359550561651,-0.00657973604201302
"5401","dr72hvw",0,-0.193707865168539,-0.507286495960538,-0.542476232983384
"5402","dr72hvx",0,0.0723595505617977,-0.298306136008976,-0.601724023728894
"5403","dr72hvy",0,0.306516853932584,-0.103256011149968,-0.15649969759144
"5404","dr72hvz",2,0.827865168539326,2.12036945294115,1.79494114796725
"5405","dr72hw0",0,0.00269662921348315,0.00449438202244665,0.00205993769725751
"5406","dr72hw2",0,0.00269662921348315,0,1.31847328796069e-05
"5407","dr72hw4",0,-0.000898876404494382,0,-1.31777616717104e-05
"5408","dr72hw7",0,-0.000449438202247191,0,-1.3162960090877e-05
"5409","dr72hwb",0,0.000561797752808989,0,0
"5410","dr72hwf",0,0.000561797752808989,0.00449438202246357,0.00166022707448725
"5411","dr72hwh",0,-0.000898876404494382,0,1.31577399738947e-05
"5412","dr72hwk",0,0,0,-1.31577399738947e-05
"5413","dr72hwp",0,-0.00112359550561798,0,0
