"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"850","dr5rezq",-8,-22,-30,-15,-28,-27,-6,-23,-28,-29,-15,-23
"855","dr5rezr",-18,-17,-30,-36,-25,-26,-28,-32,-37,-19,-22,-21
"860","dr5rezs",-11,-23,-23,-19,-16,-17,-24,-25,-25,-7,-7,-13
"865","dr5rezt",-15,-25,-29,-19,-17,-15,-13,-13,-29,-8,-18,-26
"870","dr5rezu",-7,-13,-16,-9,-8,-11,-8,-13,-14,-8,-5,-15
"875","dr5rezv",-12,-7,-17,-3,-14,-9,-7,-6,-7,-11,-6,-9
"878","dr5rezw",-19,-31,-29,-17,-30,-24,-9,-15,-29,-11,-20,-38
"883","dr5rezx",-26,-23,-29,-32,-33,-20,-13,-22,-26,-22,-19,-22
"888","dr5rezy",-33,-25,-26,-20,-31,-30,-17,-21,-36,-12,-22,-16
"893","dr5rezz",-27,-29,-36,-20,-22,-24,-12,-19,-36,-24,-17,-19
"898","dr5rgb5",-12,-10,-9,-4,-9,-8,-5,-3,-8,-4,-4,-9
"903","dr5rgb7",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,-5
"904","dr5rgbh",-39,-59,-24,-21,-26,-45,-28,-22,-57,-30,-29,-23
"909","dr5rgbj",-12,-19,-15,-15,-15,-17,-8,-11,-12,-8,-7,-10
"913","dr5rgbk",-23,-9,-22,-27,-22,-30,-9,-11,-19,-14,-17,-25
"918","dr5rgbm",-24,-21,-29,-20,-18,-16,-20,-17,-22,-24,-32,-51
"923","dr5rgbn",-14,-23,-36,-27,-25,-23,-17,-30,-34,-30,-35,-23
"928","dr5rgbp",-17,-15,-8,-13,-12,-9,0,-7,-23,-7,-10,-21
"933","dr5rgbq",-52,-52,-49,-67,-39,-37,-53,-66,-65,-53,-57,-70
"938","dr5rgbr",-9,-10,-8,-9,-16,-12,-12,-12,-20,-12,-15,-13
"943","dr5rgbs",-4,-1,-2,1,-2,-4,0,-8,0,-1,-2,1
"947","dr5rgbt",-61,-107,-89,-95,-96,-105,-89,-75,-91,-71,-81,-106
"952","dr5rgbu",-9,-9,-10,-17,-11,-31,-19,-25,-33,-26,-7,-15
"953","dr5rgbv",-63,-76,-85,-94,-89,-68,-79,-77,-131,-74,-67,-85
"958","dr5rgbw",-89,-126,-128,-79,-143,-142,-94,-101,-166,-98,-100,-130
"963","dr5rgbx",-65,-77,-112,-78,-132,-119,-79,-86,-148,-90,-82,-93
"968","dr5rgby",-31,-47,-36,-16,-35,-47,-13,-29,-50,-26,-19,-27
"973","dr5rgbz",-138,-229,-281,-227,-248,-279,-212,-217,-313,-202,-272,-288
"978","dr5rgch",-5,-5,-4,-4,-4,-9,-9,0,-5,-6,-6,-3
"979","dr5rgcj",-28,-39,-40,-36,-57,-68,-45,-46,-52,-25,-32,-39
"984","dr5rgck",-21,-37,-21,-12,-8,-15,-15,-11,-25,-7,-13,-14
"988","dr5rgcm",-9,-12,-15,-9,-16,-10,-7,-13,-11,-7,-21,-11
"991","dr5rgcn",-25,-16,-30,-27,-18,-33,-19,-23,-20,-25,-25,-21
"996","dr5rgcp",-10,-20,-17,-15,-13,-17,-15,-11,-21,-18,-18,-19
"1001","dr5rgcq",-33,-49,-56,-47,-55,-46,-50,-46,-63,-25,-43,-33
"1006","dr5rgcr",-10,-9,-19,-12,-17,-18,-13,-10,-16,-12,-13,-16
"1008","dr5rgcs",-17,-37,-25,-21,-23,-24,-14,-13,-19,-14,-19,-7
"1011","dr5rgct",-7,-17,-13,-11,-8,-9,-13,-8,-12,-10,-5,-13
"1014","dr5rgcu",-7,-19,-12,-15,-18,-21,-13,-15,-15,-9,-12,-15
"1018","dr5rgcv",-10,-20,-8,-9,-8,-14,-13,-5,-21,-12,-18,-11
"1022","dr5rgcw",-18,-14,-19,-8,-22,-18,-15,-20,-12,-18,-18,-13
"1027","dr5rgcx",-11,-17,-12,-14,-13,-12,-15,-14,-29,-8,-9,-16
"1032","dr5rgcy",-18,-16,-21,-14,-3,-9,-9,-8,-27,-8,-10,-10
"1037","dr5rgcz",-43,-47,-44,-50,-51,-49,-45,-38,-61,-45,-30,-43
"1042","dr5rgfh",-11,-18,-24,-14,-25,-27,-21,-33,-15,-14,-14,-25
"1045","dr5rgfj",-15,-9,-11,-14,-22,-29,-13,-20,-20,-5,-4,-5
"1049","dr5rgfk",-3,-2,-1,-3,-11,-8,-3,-2,-3,-3,-3,-3
"1050","dr5rgfm",0,-1,-2,-3,-3,-2,2,1,1,0,-1,0
"1052","dr5rgfn",-15,-10,-28,-19,-18,-15,-15,-23,-14,-12,-20,-21
"1057","dr5rgfp",-26,-33,-27,-18,-17,-27,-27,-13,-28,-26,-16,-26
"1062","dr5rgfq",-27,-21,-36,-24,-25,-81,-47,-7,-45,-28,-53,-42
"1067","dr5rgfr",-21,-28,-39,-19,-19,-24,-15,-22,-48,-23,-41,-20
"1072","dr5rgfs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"1073","dr5rgft",-65,-95,-85,-69,-69,-104,-67,-59,-116,-73,-62,-73
"1077","dr5rgfv",-3,-5,-11,-10,-6,-11,-9,-7,-9,-1,-7,-11
"1078","dr5rgfw",-24,-39,-45,-34,-25,-39,-48,-29,-45,-31,-33,-27
"1083","dr5rgfx",-32,-70,-54,-45,-65,-72,-31,-28,-89,-39,-46,-63
"1088","dr5rgfy",-4,-5,-4,-3,-1,-4,-2,-5,-4,-1,-7,-4
"1089","dr5rgfz",-7,-13,-14,-17,-10,-7,-5,-13,-28,-14,-18,-17
"1094","dr5rggq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1095","dr5rggr",-1,-7,-3,-4,-1,-3,-6,-7,-10,-5,-6,-6
"1098","dr5rggw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1099","dr5rggx",-17,-18,-11,-16,-11,-32,-13,-19,-17,-19,-18,-8
"1101","dr5rggz",NA,NA,NA,NA,-3,-1,-1,0,-1,-7,-1,-2
"1102","dr5rhr5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
